Title,Company,Location,Date Posted,Logo URL,Job URL
"Software Engineer, Entry-Level",DoorDash,"Toronto, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/D4E0BAQFbAtJ4Rl0SEg/company-logo_100_100/B4EZa2Dj_dHkAQ-/0/1746811109671/doordash_logo?e=2147483647&v=beta&t=q4eFLFkMf8ZwKpDStPkbpPXMUgCjk54GVtkzdinIRq8,https://ca.linkedin.com/jobs/view/software-engineer-entry-level-at-doordash-4322541525?position=1&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=w9vwj8k656c4lH%2Fut9chhw%3D%3D
Data Scientist,New York Technology Partners,"Toronto, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/C4D0BAQHDKWHx36SB2Q/company-logo_100_100/company-logo_100_100/0/1630569042627/new_york_technology_partners_logo?e=2147483647&v=beta&t=0H1WAsHOmOt2_cZdScJnryU9OQaalq67f5b7gi8c068,https://ca.linkedin.com/jobs/view/data-scientist-at-new-york-technology-partners-4336930306?position=2&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=bij44G6hFAGoGCBLna4tYA%3D%3D
AI / ML Engineer OR Data Scientist,Veracity Software Inc,"Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/C560BAQHkq4yVhJl7vQ/company-logo_100_100/company-logo_100_100/0/1631393288437?e=2147483647&v=beta&t=sUuyj8tLqNSCKwHDziZu8JCfWcDzC50KxAf0F-xTpYA,https://ca.linkedin.com/jobs/view/ai-ml-engineer-or-data-scientist-at-veracity-software-inc-4260303954?position=3&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=dCZZBhP4fE%2BmJ9ndkeSc6Q%3D%3D
Data Scientist,Stripe,"Toronto, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/D560BAQE2ZfJyfn-VCg/company-logo_100_100/B56ZlyKwpUKIAQ-/0/1758557047806/stripe_logo?e=2147483647&v=beta&t=fRMcaMGPJNFUMq_l1f2zzyX4PaK3yg-MRicyUuY3qSI,https://ca.linkedin.com/jobs/view/data-scientist-at-stripe-4333419705?position=4&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=YQfak1T0T%2BvjLwH5HnHuTw%3D%3D
Data Scientist,Mastercard,"Toronto, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/C560BAQGOW4NIyYRRqQ/company-logo_100_100/company-logo_100_100/0/1631340300330?e=2147483647&v=beta&t=xq1ySX9pM18Xr0xQJaRgCbH1ap_xO8Yn0h21FM105Ls,https://ca.linkedin.com/jobs/view/data-scientist-at-mastercard-4340570085?position=5&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=Ie8jK6q6k0hGAbdmZPeYdg%3D%3D
Data Scientist,Teranet Inc.,"Toronto, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/C560BAQE0_2OXOpCByw/company-logo_100_100/company-logo_100_100/0/1653440102025/teranet_inc_logo?e=2147483647&v=beta&t=vZgBV_KIpxNwcl8OfL5FzrQAVbIlb7Z7W7i_NxLpARE,https://ca.linkedin.com/jobs/view/data-scientist-at-teranet-inc-4321219870?position=6&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=ZVoXStQ0HKdA9jS4%2FVj88g%3D%3D
Data Scientist,Ample Insight,"Toronto, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/C4E0BAQHCPXx0g1vfEQ/company-logo_100_100/company-logo_100_100/0/1630587128569/ample_insight_logo?e=2147483647&v=beta&t=itKwD6m_91vPzAK2z0WH83aoh-DUflSzw_WVbce5ijM,https://ca.linkedin.com/jobs/view/data-scientist-at-ample-insight-4332095546?position=7&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=HHB0ORRhuf1B48%2BKYYfvTw%3D%3D
Data Scientist,Intero Integrity,"Scarborough, Ontario, Canada",N/A,https://media.licdn.com/dms/image/v2/C4E0BAQEhA_Pj9fWDhA/company-logo_100_100/company-logo_100_100/0/1631375188824/intero_integrity_logo?e=2147483647&v=beta&t=oAwJTBx-vD2hboBKsqGBN2_qZymV_-uXpQGG-XDh44E,https://ca.linkedin.com/jobs/view/data-scientist-at-intero-integrity-4320151114?position=8&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=xRCDs29LcDrUHnvnELpA4w%3D%3D
"Software Engineer, AI Agents",Replicant,Canada,N/A,https://media.licdn.com/dms/image/v2/D560BAQEWxoDx7GvmNg/company-logo_100_100/B56Zb.i08UH4AU-/0/1748027265078/replicant_logo?e=2147483647&v=beta&t=1G0otSsZ7DWPnzo1ld0rXqpUD1zF6gHRtaFD9Em9bb0,https://ca.linkedin.com/jobs/view/software-engineer-ai-agents-at-replicant-4289324028?position=9&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=Q%2BsASpN6kXpU0pQz4eDfNQ%3D%3D
Data Scientist,MLabs,Canada,N/A,https://media.licdn.com/dms/image/v2/D4E0BAQGv8uRP_dCrEA/company-logo_100_100/company-logo_100_100/0/1665415880554/mlabsconsulting_logo?e=2147483647&v=beta&t=b47Kvt6bv7PLKt27WLg2Hfzc3K8wTSPbR-Im4CdS7i0,https://ca.linkedin.com/jobs/view/data-scientist-at-mlabs-4336711642?position=10&pageNum=0&refId=DuFxwmX8pwU6OP%2Fk%2BR6RuQ%3D%3D&trackingId=%2F2qklYDdu2RqudY54TTdMg%3D%3D
